#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,
,,,,,,
GODS_YAZATAS;The Yazatas;;;;;;;;;;;;;x,,,,,,
dharmic_opinion;Dharmic Opinion;;;;;;;;;x,,,,,,,,,
indian_feudal;Sarkari;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indian_feudal_desc;The event resulted in a collapse of the central government's authority in the Indian subcontinent. Nevertheless, the remnants of the government managed to survive the event in isolated regions, and soon became much more feudal in structure, with ministers effectively having the power of monarchs. It is primarily focused around moving power upwards to the ducal, kingly and imperial levels by treating the lowest of vassals in a manner more akin to regional governors than true feudal vassals. Compared to feudal states, the ruler is somewhat restricted by the rule of law when dealing with their vassals.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,
,,,,,,
successor;Successor;;;;;;;;;;;;;x,,,,,,
successor_desc;This character is one of the former generals and vassals of the conqueror of Rajasthan, who died early in his reign.;;;;;;;;;;;;;x,,,,,
crowned_indian_feudal;Sarkari Monarch;;;;;;;;;;;;;x,,,,,,
crowned_indian_feudal_desc;This character has been lawfully crowned monarch by the will of the people.;;;;;;;;;;;;;x,,,,,
MUMBAI_REPUBLIC_LEADER;Protector;;;;;;;;;;;;;x,,,,,,
MUMBAI_REPUBLIC_LEADER_FEMALE;Protector;;;;;;;;;;;;;x,,,,,,
MUMBAI_REPUBLIC_LEADER_FOA;Your Excellency;;;;;;;;;;;;;x,,,,,,
CHHATRAPATI_TITLE;Chhatrapati;;;;;;;;;;;;;x,,,,,,
,,,,,,
,,,,,,
axe_of_devendra;Decapitator;;;;;;;;;;;;;x,,,,,,
axe_of_devendra_desc;The famous axe of Devendra Purandar, a ruler who raided almost all of Maharashtra.;;;;;;;;;;;;;x,,,,,,
rajasaurus_skull;Rajasura Skull;;;;;;;;;;;;;x,,,,,,
rajasaurus_skull_desc;The skull of a demon named Rajasura, slain by the gods in ancient times.;;;;;;;;;;;;;x,,,,,,
varunastra;Varunastra;;;;;;;;;;;;;x,,,,,,
varunastra_desc;A legendary weapon whose power comes from Varuna, the god of the sea. It is said to be able to destroy any target using the power of the seas contained within it.;;;;;;;;;;;;;x,,,,,,
agneyastra;Agneyastra;;;;;;;;;;;;;x,,,,,,
agneyastra_desc;A mythical weapon whose power comes from Agni, the god of fire. Legends say it can emit flames inextinguishable by normal means.;;;;;;;;;;;;;x,,,,,,
suryastra;Suryastra;;;;;;;;;;;;;x,,,,,,
